,0
0,8.585255960913695
1,23.617957177692762
2,52.54650039695253
3,131.6611359992402
4,247.31975738468876
5,272.39727780811734
6,31.34152862558451
7,43.40689422658588
8,389.90620587842596
9,341.1615157890128
10,70.87066318318948
11,580.634068297863
12,190.8683926358674
13,34.98316371996619
14,391.3621123220605
15,16.140222425957965
16,182.98336030354733
17,356.4020276658956
18,380.53779473567766
19,19.198519766605706
20,141.390353255075
21,26.33402144137039
22,48.48791683362847
23,82.95978049015282
24,276.68616737146493
25,6.311869058994731
26,11.390264976998873
27,73.64926218001149
28,6.640277932903066
29,35.066332275364196
30,16.2266285326728
31,17.218809958722
32,63.285898515182836
33,172.66142869782354
34,14.757604962971502
35,23.098690371600608
36,38.236018690599344
37,206.23140536894647
38,131.5243302936617
39,224.9354533469421
40,28.647014797552593
41,84.26388184714908
