,0
0,1.57725759611589
1,7.672056527574211
2,6.9651212557414235
3,21.6184222408861
4,53.86766447103657
5,37.03313508410606
6,7.076624183261796
7,9.392409640546107
8,84.95646440521352
9,75.46437447515166
10,19.556727240351123
11,97.1685325607713
12,40.998677171518636
13,5.254380338433928
14,85.52651735017719
15,2.562157416216339
16,29.989377077037727
17,48.780903887879404
18,76.72395781147713
19,5.636276799980195
20,20.01572532551414
21,6.093519187278546
22,17.157415357903915
23,16.171847293659383
24,67.4795193165969
25,1.3848211566055488
26,1.8296918027893423
27,12.695519701839576
28,1.1438356233089169
29,12.0301226383809
30,4.174934948675993
31,7.886161033174149
32,14.856703003766079
33,43.4994874733047
34,2.520755565583121
35,5.382481867942047
36,6.092664246673539
37,32.94676377437627
38,42.61874003416142
39,39.448070416609426
40,7.781158958888685
41,16.575066615926726
