,0
0,3.533725352108961
1,4.553485337026837
2,9.858946246506125
3,23.936893879390887
4,42.81594503850049
5,50.69763723608693
6,5.554931741908958
7,7.910540241469298
8,65.17770587919978
9,56.68945619060587
10,12.76651076029954
11,103.47946518077794
12,32.21812709868236
13,6.638682521118152
14,65.41779969204755
15,3.0961632836684867
16,32.49582176727097
17,65.371728139602
18,62.20413414473295
19,2.8580695613656286
20,25.993239258372057
21,5.128819512547758
22,9.484992155875476
23,18.304522463069635
24,51.306003829332326
25,1.1689513911128422
26,2.0106902618861064
27,13.356090738630325
28,1.986164225525799
29,5.769926685831223
30,2.741134053956218
31,4.796070612217772
32,13.328177083867889
33,34.669846022115
34,2.529387736416152
35,3.7594520437552386
36,9.314289458750471
37,35.20817882291994
38,23.366621966513
39,49.944342515505255
40,4.589660851287762
41,14.745876193610043
