,0
0,2.178079898692286
1,6.2447380216296775
2,7.219206314244256
3,22.817687940785554
4,56.312154327211104
5,34.393585763919376
6,7.395229978853866
7,9.285558238598128
8,79.44869499854734
9,94.75471330392693
10,20.438962842498242
11,81.04353295990937
12,36.5865279226469
13,5.744398844893933
14,80.0954555698832
15,2.3830582793383353
16,24.52503961204861
17,45.38821466904663
18,97.16245118704774
19,4.554291654197662
20,16.329281732527903
21,6.199020409815156
22,18.878767146313862
23,23.811843444642612
24,80.21685543825319
25,2.418308114854292
26,1.5821306147632344
27,10.74007145963029
28,1.0827900099921242
29,8.874756451671937
30,3.569069453253565
31,4.996949826395362
32,17.008548072739586
33,40.18097491422719
34,2.108352815449104
35,5.325204328067082
36,5.277427962357335
37,29.376661184777223
38,25.806979311449652
39,42.69159762855002
40,6.329452606323077
41,14.814784028040984
