,0
0,1.1643270494636093
1,2.654201012246831
2,3.333477911777873
3,9.946729195208942
4,23.774739706908058
5,17.85229058863715
6,3.385493146833104
7,3.65531544959379
8,34.8865599586415
9,42.224570276557984
10,7.329871785215637
11,39.87476161454657
12,16.296847233080896
13,2.817820486208756
14,35.12556134839497
15,1.1364560047752992
16,12.201237187050868
17,22.65737426993578
18,42.54582116563098
19,2.058393994684579
20,8.816734935858822
21,2.754299535115783
22,8.232837568495626
23,10.347730896696007
24,30.817741870420235
25,0.6794794027810926
26,0.7117223166646156
27,4.50963698902476
28,0.46885753534702423
29,3.852830261721838
30,1.5448907345287477
31,2.4945117257996534
32,6.187001373309114
33,21.80532781799532
34,1.0451461887525637
35,2.9296980327608693
36,3.1009434301753016
37,14.229445828479195
38,14.069224470652124
39,18.143541493379367
40,2.3909971061798867
41,6.088607203680155
