,0
0,1.2895950029807535
1,4.229115154231931
2,6.676109357714295
3,17.14645098324857
4,33.53427099820877
5,34.48345530289336
6,4.3773193604254566
7,5.969373213041726
8,55.82364168303303
9,48.591762705761
10,10.001001463916769
11,72.81936031144409
12,27.61365711592363
13,4.0742718001682725
14,56.07151992160972
15,2.039929837504711
16,24.329988535221233
17,43.24254611238011
18,57.40905290193416
19,2.7229588039104478
20,18.39597477177297
21,3.987494169187025
22,7.221056060699535
23,13.909576899803437
24,42.89130928642554
25,1.077296872696732
26,1.483455763597922
27,9.757810403564527
28,1.1999506497446322
29,6.332754874364425
30,2.59448168636455
31,3.461050209742589
32,7.674275953104686
33,30.495453192008924
34,1.7630624217292443
35,3.6498307711444307
36,6.118485719210051
37,26.88195611663906
38,24.72288613927043
39,29.510038547525156
40,4.765945610569826
41,11.926050752823139
